MMM,3M Company,Industrials,Industrial Conglomerates
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals
ACN,Accenture plc,Information Technology,IT Consulting & Other Services
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment
ADBE,Adobe Systems Inc,Information Technology,Application Software
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders
AET,Aetna Inc,Health Care,Managed Health Care
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks
AFL,AFLAC Inc,Financials,Life & Health Insurance
A,Agilent Technologies Inc,Health Care,Health Care Equipment
APD,Air Products & Chemicals Inc,Materials,Industrial Gases
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services
ALK,Alaska Air Group Inc,Industrials,Airlines
ALB,Albemarle Corp,Materials,Specialty Chemicals
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology
ALGN,Align Technology,Health Care,Health Care Supplies
ALLE,Allegion,Industrials,Building Products
AGN,"Allergan Plc",Health Care,Pharmaceuticals
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services
LNT,Alliant Energy Corp,Utilities,Electric Utilities
ALL,Allstate Corp,Financials,Property & Casualty Insurance
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services
MO,Altria Group Inc,Consumer Staples,Tobacco
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail
AEE,Ameren Corp,Utilities,Multi-Utilities
AAL,American Airlines Group,Industrials,Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express Co,Financials,Consumer Finance
AIG,"American International Group Inc.",Financials,Property & Casualty Insurance
AMT,American Tower Corp A,Real Estate,Specialized REITs
AWK,American Water Works Company Inc,Utilities,Water Utilities
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment
AMGN,Amgen Inc.,Health Care,Biotechnology
APH,Amphenol Corp,Information Technology,Electronic Components
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production
ADI,"Analog Devices Inc.",Information Technology,Semiconductors
ANDV,Andeavor,Energy,Oil & Gas Refining & Marketing
ANSS,ANSYS,Information Technology,Application Software
ANTM,Anthem Inc.,Health Care,Managed Health Care
AON,Aon plc,Financials,Insurance Brokers
AOS,A.O. Smith,Industrials,Building Products
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production
AIV,Apartment Investment & Management,Real Estate,Residential REITs
AAPL,Apple Inc.,Information Technology,"Technology Hardware Storage & Peripherals"
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products
ARNC,Arconic Inc.,Industrials,Aerospace & Defense
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AIZ,Assurant,Financials,Multi-line Insurance
T,AT&T Inc.,Telecommunication Services,Integrated Telecommunication Services
ADSK,Autodesk Inc.,Information Technology,Application Software
ADP,Automatic Data Processing,Information Technology,Internet Software & Services
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores
AVB,"AvalonBay Communities Inc.",Real Estate,Residential REITs
AVY,Avery Dennison Corp,Materials,Paper Packaging
BHGE,"Baker Hughes a GE Company",Energy,Oil & Gas Equipment & Services
BLL,Ball Corp,Materials,Metal & Glass Containers
BAC,Bank of America Corp,Financials,Diversified Banks
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks
BAX,Baxter International Inc.,Health Care,Health Care Equipment
BBT,BB&T Corporation,Financials,Regional Banks
BDX,Becton Dickinson,Health Care,Health Care Equipment
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail
BIIB,Biogen Inc.,Health Care,Biotechnology
BLK,BlackRock,Financials,Asset Management & Custody Banks
HRB,Block H&R,Financials,Consumer Finance
BA,Boeing Company,Industrials,Aerospace & Defense
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
BXP,Boston Properties,Real Estate,Office REITs
BSX,Boston Scientific,Health Care,Health Care Equipment
